@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.09.03 Linux 64"
@ DATE             %08s "27/08/24"
@ TIME             %08s "02.26.29"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_22"          "DRIFT"                    45.21077021                0.6                  0        -7.36125824                  0       -11.46442162       -4.974188368                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM4"               "SBEND"                    46.26974874        1.058978524       0.2617993878       -6.385681278                  0       -11.06032441       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$END"       "MARKER"                   46.26974874                  0                  0       -6.385681278                  0       -11.06032441       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                    48.28102102        2.011272283                  0       -4.643868387                  0       -10.05468827       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4"                "MARKER"                   48.28102102                  0                  0       -4.643868387                  0       -10.05468827       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_24"          "DRIFT"                     50.2922933        2.011272283                  0       -2.902055496                  0       -9.049052131       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$START"     "MARKER"                    50.2922933                  0                  0       -2.902055496                  0       -9.049052131       -5.235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM1"               "SBEND"                    51.35127183        1.058978524       0.2617993878       -2.064308566                  0       -8.406226303       -5.497787144                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                    51.95127183                0.6                  0       -1.640044497                  0       -7.981962234       -5.497787144                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM2"               "SBEND"                    53.01025035        1.058978524       0.2617993878      -0.9972186688                  0       -7.144215304       -5.759586532                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                    53.61025035                0.6                  0      -0.6972186688                  0       -6.624600062       -5.759586532                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM3"               "SBEND"                    54.66922887        1.058978524       0.2617993878      -0.2931214597                  0       -5.649023099       -6.021385919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                    55.26922887                0.6                  0      -0.1378300327                  0       -5.069467603       -6.021385919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM4"               "SBEND"                     56.3282074        1.058978524       0.2617993878    4.612976667e-14                  0       -4.022544566       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$END"       "MARKER"                    56.3282074                  0                  0    4.612976667e-14                  0       -4.022544566       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                    58.33947968        2.011272283                  0    4.791613531e-14                  0       -2.011272283       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5"                "MARKER"                   58.33947968                  0                  0    4.791613531e-14                  0       -2.011272283       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_29"          "DRIFT"                    60.35075196        2.011272283                  0    4.970250395e-14                  0   -4.440892099e-15       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "FULL_RING$END"     "MARKER"                   60.35075196                  0                  0    4.970250395e-14                  0   -4.440892099e-15       -6.283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
